"sample.id"	"EV1"	"EV2"
"1"	"701"	-0.0446399942142692	-0.313189484892346
"2"	"703"	-0.128657687761772	0.231503043100792
"3"	"704"	-0.0798280914965051	0.089004362214709
"4"	"705"	-0.0621468497173833	0.0754835727877922
"5"	"706"	-0.0551746504861103	-0.192406220549569
"6"	"707"	-0.0431358213987114	-0.206565699001874
"7"	"708"	-0.0476661126287318	0.0460794650113378
"8"	"709"	-0.0825715184132294	0.107334806010294
"9"	"711"	-0.0486523910545922	-0.304724424795829
"10"	"712"	-0.0518967360554487	-0.541785583272913
"11"	"713"	0.00958033161283662	-0.0304871254393945
"12"	"714"	0.00444833557242185	-0.00509752340109183
"13"	"716"	-0.000410167683955926	-0.0503624408967772
"14"	"718"	0.00405451248530432	0.00839311178484081
"15"	"720"	-0.0607969218241161	0.253595263268116
"16"	"721"	-0.0062522781292797	0.00464493665620012
"17"	"724"	-0.0382917808072219	0.133389283665156
"18"	"725"	0.0205743320085696	-0.0511084679586849
"19"	"729"	0.960429555619746	0.0703116427412358
"20"	"733"	-0.0106822446966612	-0.0468614515031017
"21"	"738"	0.0131993610931554	-0.036166946550527
"22"	"741"	-0.119539246292557	0.23560046151169
"23"	"742"	-0.0472137912721849	0.080406095181125
"24"	"743"	-0.0847301444593012	0.44300932432882
